Name,TeamAbbreviation,Minutes,OffPoss,Points,FG2M,FG2A,Fg2Pct,FG3M,FG3A,Fg3Pct,NonHeaveFg3Pct,FtPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,FG3APct,ShotQualityAvg,EfgPct,TsPct,PtsPutbacks,Fg2aBlocked,FG2APctBlocked,Fg3aBlocked,FG3APctBlocked,Usage
Kenrich Williams,OKC,31,63,17,3,4,0.75,3,5,0.6,0.6,2,2,4,6,3,0.333333333,0.5,0.666666667,0.555555556,0.585466667,0.833333333,0.85,2,1,0.25,0,0,12.65822785
Wayne Ellington,LAL,31,59,3,0,0,0,1,3,0.333333333,0.333333333,0,0,0,0,3,0,0,0,1,0.50305,0.5,0.5,0,0,0,0,0,4.615384615
Luke Kennard,LAC,31,56,17,1,2,0.5,5,8,0.625,0.625,0,2,0,15,0,1,1,1,0.8,0.5054,0.85,0.85,0,0,0,0,0,18.33333333
Fred VanVleet,TOR,30,55,15,2,6,0.333333333,3,8,0.375,0.375,2,0,4,3,6,0,0,0.333333333,0.571428571,0.4657,0.464285714,0.5,0,0,0,0,0,31.74603175
Jae Crowder,PHX,30,57,13,2,3,0.666666667,3,7,0.428571429,0.428571429,0,4,0,9,0,1,1,1,0.7,0.542745,0.65,0.65,0,0,0,0,0,16.39344262
Jaren Jackson Jr.,MEM,30,61,16,1,4,0.25,3,3,1,1,5,2,0,9,0,1,1,1,0.428571429,0.418835714,0.785714286,0.8,0,0,0,0,0,16.21621622
Jarred Vanderbilt,MIN,30,57,4,2,4,0.5,0,0,0,0,0,2,2,0,0,0.5,1,0,0,0.588025,0.5,0.5,2,1,0.25,0,0,9.375
Davion Mitchell,SAC,30,51,5,2,3,0.666666667,0,1,0,0,1,0,4,0,0,0,0,0,0.25,0.3848875,0.5,0.5,0,0,0,0,0,10
Pat Connaughton,MIL,30,51,11,1,1,1,3,7,0.428571429,0.428571429,0,2,0,9,0,1,1,1,0.875,0.5356,0.6875,0.6875,0,0,0,0,0,12.90322581
Luguentz Dort,OKC,30,65,22,6,10,0.6,2,6,0.333333333,0.333333333,4,6,6,6,0,0.5,0.6,1,0.375,0.5194625,0.5625,0.611111111,2,0,0,0,0,23.68421053
Kyle Anderson,MEM,30,56,4,1,5,0.2,0,2,0,0,2,2,0,0,0,1,1,0,0.285714286,0.476942857,0.142857143,0.25,0,1,0.2,0,0,12.12121212
Paul George,LAC,29,52,14,4,8,0.5,2,5,0.4,0.4,0,2,6,3,3,0.25,0.25,0.5,0.384615385,0.5137,0.538461538,0.538461538,0,1,0.125,0,0,26.66666667
John Collins,ATL,29,60,8,2,7,0.285714286,0,1,0,0,4,2,2,0,0,0.5,1,0,0.125,0.57,0.25,0.363636364,2,1,0.142857143,0,0,15.58441558
Jrue Holiday,MIL,29,51,16,4,8,0.5,2,6,0.333333333,0.333333333,2,0,8,3,3,0,0,0.5,0.428571429,0.469117857,0.5,0.533333333,0,1,0.125,0,0,30.64516129
Deandre Ayton,PHX,29,52,12,6,9,0.666666667,0,0,0,0,0,12,0,0,0,1,1,0,0,0.573933333,0.666666667,0.666666667,0,1,0.111111111,0,0,16.36363636
Trae Young,ATL,29,54,20,8,19,0.421052632,1,7,0.142857143,0.142857143,1,2,14,0,3,0.125,0.125,0,0.269230769,0.489046154,0.365384615,0.37037037,0,4,0.210526316,0,0,42.02898551
Daniel Gafford,WAS,29,54,7,3,4,0.75,0,0,0,0,1,2,4,0,0,0.333333333,1,0,0,0.6195,0.75,0.7,4,1,0.25,0,0,6.349206349
P.J. Washington,CHA,29,60,9,0,2,0,3,6,0.5,0.5,0,0,0,9,0,0,0,1,0.75,0.48130625,0.5625,0.5625,0,0,0,0,0,11.94029851
Royce O'Neale,UTA,29,47,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0.75,0.4793,0,0,0,0,0,1,0.333333333,7.407407407
Bojan Bogdanovic,UTA,28,48,5,2,3,0.666666667,0,3,0,0,1,4,0,0,0,1,1,0,0.5,0.540433333,0.333333333,0.357142857,0,0,0,0,0,12.72727273
Richaun Holmes,SAC,28,44,6,1,2,0.5,0,0,0,0,4,0,2,0,0,0,0,0,0,0.4976,0.5,0.75,2,0,0,0,0,8
Rudy Gobert,UTA,28,47,12,5,5,1,0,0,0,0,2,6,4,0,0,0.6,1,0,0,0.62324,1,1,4,0,0,0,0,13.20754717
Donovan Mitchell,UTA,28,47,26,8,14,0.571428571,2,6,0.333333333,0.333333333,4,0,16,3,3,0,0,0.5,0.3,0.4752125,0.55,0.590909091,0,1,0.071428571,0,0,47.16981132
Jaden McDaniels,MIN,28,56,3,0,1,0,1,3,0.333333333,0.333333333,0,0,0,3,0,0,0,1,0.75,0.4989625,0.375,0.375,0,1,1,0,0,6.557377049
LaMarcus Aldridge,BKN,28,50,14,6,12,0.5,0,0,0,0,2,2,10,0,0,0.166666667,0.333333333,0,0,0.489008333,0.5,0.538461538,6,1,0.083333333,0,0,22.80701754
Danny Green,PHI,28,51,6,0,0,0,2,7,0.285714286,0.285714286,0,0,0,6,0,0,0,1,1,0.543235714,0.428571429,0.428571429,0,0,0,0,0,18.86792453
Aaron Gordon,DEN,27,53,7,2,4,0.5,1,2,0.5,0.5,0,0,4,3,0,0,0,1,0.333333333,0.428025,0.583333333,0.583333333,2,0,0,0,0,10.16949153
Damion Lee,GSW,27,47,25,2,4,0.5,7,10,0.7,0.7,0,4,0,21,0,1,1,1,0.714285714,0.547328571,0.892857143,0.892857143,0,0,0,0,0,28.84615385
Cody Martin,CHA,26,54,4,1,2,0.5,0,3,0,0,2,0,2,0,0,0,0,0,0.6,0.50169,0.2,0.333333333,0,1,0.5,0,0,11.86440678
Jarrett Allen,CLE,26,48,14,4,5,0.8,1,1,1,1,3,6,2,0,3,0.75,0.75,0,0.166666667,0.687275,0.916666667,0.875,0,1,0.2,0,0,16.36363636
Evan Mobley,CLE,26,49,14,5,8,0.625,0,1,0,0,4,6,4,0,0,0.6,0.6,0,0.111111111,0.506833333,0.555555556,0.636363636,0,1,0.125,0,0,20.37037037
Josh Giddey,OKC,26,55,6,3,9,0.333333333,0,1,0,0,0,2,4,0,0,0.333333333,0.333333333,0,0.1,0.45394,0.3,0.3,0,2,0.222222222,0,0,18.84057971
Maxi Kleber,DAL,25,44,12,0,0,0,4,4,1,1,0,0,0,12,0,0,0,1,1,0.521025,1.5,1.5,0,0,0,0,0,7.843137255
Obi Toppin,NYK,25,43,14,5,8,0.625,0,2,0,0,4,8,2,0,0,0.8,1,0,0.2,0.56729,0.5,0.583333333,2,1,0.125,0,0,22.64150943
Georges Niang,PHI,25,49,12,2,3,0.666666667,2,5,0.4,0.4,2,2,2,6,0,0.5,0.5,1,0.625,0.5347625,0.625,0.666666667,0,1,0.333333333,0,0,16.36363636
Tyler Herro,MIA,25,45,14,2,4,0.5,3,6,0.5,0.5,1,0,4,3,6,0,0,0.333333333,0.6,0.451175,0.65,0.636363636,0,0,0,0,0,27.65957447
Mikal Bridges,PHX,25,46,7,3,3,1,0,1,0,0,1,4,2,0,0,0.666666667,1,0,0.25,0.562875,0.75,0.7,2,0,0,0,0,9.803921569
Dwight Powell,DAL,25,42,2,1,2,0.5,0,0,0,0,0,2,0,0,0,1,1,0,0,0.7069,0.5,0.333333333,0,1,0.5,0,0,8
Marvin Bagley III,SAC,25,43,4,2,2,1,0,0,0,0,0,2,2,0,0,0.5,1,0,0,0.51195,1,1,2,0,0,0,0,3.846153846
Jakob Poeltl,SAS,25,50,11,5,9,0.555555556,0,0,0,0,1,8,2,0,0,0.8,1,0,0,0.539444444,0.555555556,0.55,2,0,0,0,0,18.6440678
Mason Plumlee,CHA,25,45,2,1,2,0.5,0,0,0,0,0,2,0,0,0,1,1,0,0,0.507,0.5,0.333333333,0,0,0,0,0,6.382978723
Saddiq Bey,DET,24,58,7,2,5,0.4,1,1,1,1,0,0,4,3,0,0,0,1,0.166666667,0.497333333,0.583333333,0.583333333,2,0,0,0,0,12.6984127
Montrezl Harrell,WAS,24,47,5,0,5,0,0,1,0,0,5,0,0,0,0,0,0,0,0.166666667,0.434741667,0,0.277777778,0,2,0.4,0,0,16.36363636
Austin Reaves,LAL,24,42,3,0,0,0,1,4,0.25,0.25,0,0,0,3,0,0,0,1,1,0.5600625,0.375,0.375,0,0,0,0,0,8.888888889
Eric Gordon,HOU,24,48,17,4,4,1,2,5,0.4,0.4,3,2,6,0,6,0.25,0.25,0,0.555555556,0.525655556,0.777777778,0.8,0,0,0,0,0,20.75471698
Shake Milton,PHI,24,43,10,5,9,0.555555556,0,1,0,0,0,6,4,0,0,0.6,0.6,0,0.1,0.495075,0.5,0.5,0,1,0.111111111,0,0,23.91304348
Derrick White,SAS,24,50,12,4,5,0.8,0,4,0,0,4,2,6,0,0,0.25,0.25,0,0.444444444,0.487755556,0.444444444,0.5,0,0,0,0,0,21.42857143
Avery Bradley,LAL,24,42,8,1,1,1,2,3,0.666666667,0.666666667,0,2,0,6,0,1,1,1,0.75,0.4907625,1,1,0,0,0,1,0.333333333,10.86956522
Eric Bledsoe,LAC,24,44,12,5,10,0.5,0,1,0,0,2,6,4,0,0,0.6,0.6,0,0.090909091,0.489954545,0.454545455,0.5,0,0,0,0,0,25.49019608
Nassir Little,POR,24,42,4,2,4,0.5,0,4,0,0,0,2,2,0,0,0.5,0.5,0,0.5,0.496792857,0.25,0.25,0,1,0.25,0,0,18.86792453
